analyte,sample_number,unit_note,value
lithium,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.93025
boron,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,9.5748
sodium,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,589.714
aluminium,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.50485
silicon,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,157.074
potassium,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,89.9631
calcium,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,51.0416
vanadium,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.002
chromium,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.01125
iron,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.25526
manganese,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.0477
copper,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0125
zinc,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0601
magnesium,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,27.2585
arsenic,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.16655
selenium,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0109906
bromine,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.76454
strontium,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.205692
silver,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000784884
cadmium,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000261628
barium,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.602948
lead,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00253629
uranium,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.97312e-05
hydrogen sulphide,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.01
nitrate,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.098
ammonium,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.1
sulfate,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.4
chloride,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,477.0
phosphate,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.35
bicarbonate,P1.0001,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,214.0
lithium,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.07515
boron,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,10.02
sodium,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,642.646
aluminium,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.478911
silicon,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,188.757
potassium,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,97.0604
calcium,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,54.1029
chromium,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00628713
iron,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.37314
manganese,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.14312
copper,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0100495
zinc,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0382178
magnesium,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,29.3366
arsenic,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.29322
bromine,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.93949
strontium,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.19732
silver,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000676645
barium,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.56682
lead,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000590548
hydrogen sulphide,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.01
nitrate,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.545
ammonium,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,3.69
sulfate,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.4
chloride,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,477.0
phosphate,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.343
bicarbonate,P1.0002,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,190.0
lithium,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,16.9219
boron,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,37.4114
sodium,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1134.59
aluminium,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.625127
silicon,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,325.206
potassium,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,228.687
calcium,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,34.1665
chromium,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0038637
iron,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.839571
manganese,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00881717
copper,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0222906
zinc,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0408166
magnesium,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.226269
arsenic,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.35297
selenium,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.018741
bromine,P1.0004,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,9.05706
