attribution,conductivity_raw,conductivity_us_cm,description,dissolved_oxygen_mg_l,dissolved_oxygen_raw,ebullition,feature_type,geothermal_system,image_url,large_image_url,latitude,location_text,longitude,marker_description,marker_name,name,oxidation_reduction_potential_mv,oxidation_reduction_potential_raw,parsed_at_utc,ph,safety_warning,sample_date,sample_number,size_approx,source_id,source_licence,source_url,status_code,temperature_c,turbidity_fnu,turbidity_raw
"1000 Springs Project authors, GNS Science, and University of Waikato",2731.0 µS/cm,2731.0,Another spring in a hollow on the west side of Blue Lake. Water looks murky. A tree overhanging on one side. No visible outputs but hard to see all edges of spring. Used the bailer to sample. Grey sediment around edges.,1.98,1.98 mg/L,No ebullition (calm),Spring,Rotorua,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0785_BESTPHOTO_20141015103654205.jpg,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0785_LARGE_20141015103654205.jpg,-38.1631,"Te Puia (Te Whakarewarewa Valley), Rotorua, Rotorua",176.2542,Another spring in a hollow on the west side of Blue Lake. Water looks murky. A tree overhanging on one side. No visible outputs but hard to see all edges of spring. Used the bailer to sample. Grey sediment around edges.,Te Puia Feature 83,Te Puia Feature 83,-97.4,-97.4 mV,2026-05-27T07:40:03.578579+00:00,5.0,Hot springs can cause serious injury and death. Follow the safety instructions. Never climb over barriers and step off paths.,15-10-2014,P1.0785,2 x 1.5 m,1000,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,https://1000springs.org.nz/samplesite/1000,2,47.0,155.0,155.0 FNU
"1000 Springs Project authors, GNS Science, and University of Waikato",2710.0 µS/cm,2710.0,"The third spring on the western banks of Blue Lake that needed a bailer to sample. Bushes overhang on two sides, and there is lots of green biomass growing on walls of the hollow above the spring. No visible outputs.",3.44,3.44 mg/L,No ebullition (calm),Spring,Rotorua,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0786_BESTPHOTO_20141015110154930.jpg,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0786_LARGE_20141015110154930.jpg,-38.1631,"Te Puia (Te Whakarewarewa Valley), Rotorua, Rotorua",176.2541,"The third spring on the western banks of Blue Lake that needed a bailer to sample. Bushes overhang on two sides, and there is lots of green biomass growing on walls of the hollow above the spring. No visible outputs.",Te Puia Feature 84,Te Puia Feature 84,-66.2,-66.2 mV,2026-05-27T07:40:03.584598+00:00,6.23,Hot springs can cause serious injury and death. Follow the safety instructions. Never climb over barriers and step off paths.,15-10-2014,P1.0786,1 x 1 m,1001,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,https://1000springs.org.nz/samplesite/1001,2,76.3,30.5,30.5 FNU
"1000 Springs Project authors, GNS Science, and University of Waikato",10310.0 µS/cm,10310.0,This large lake known locally as Te Kiri is surrounded by pock marked yellow sediment with aqua blue water. Some vegetation overhangs on two sides. Lots of foam hanging out on east side of lake.,2.17,2.17 mg/L,No ebullition (calm),Lake,Rotorua,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0787_BESTPHOTO_20141015120658272.jpg,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0787_LARGE_20141015120658272.jpg,-38.1641,"Te Puia (Te Whakarewarewa Valley), Rotorua, Rotorua",176.2555,This large lake known locally as Te Kiri is surrounded by pock marked yellow sediment with aqua blue water. Some vegetation overhangs on two sides. Lots of foam hanging out on east side of lake.,Te Puia Feature 85,Te Puia Feature 85,188.0,188.0 mV,2026-05-27T07:40:03.591053+00:00,1.6,Hot springs can cause serious injury and death. Follow the safety instructions. Never climb over barriers and step off paths.,15-10-2014,P1.0787,40 x 30 m,1002,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,https://1000springs.org.nz/samplesite/1002,2,45.8,21.3,21.3 FNU
"1000 Springs Project authors, GNS Science, and University of Waikato",12080.0 µS/cm,12080.0,Small spring on the western banks of Feature 87. Zero vegetation around it and no visible outputs. Looks to be connected to Feature 87 when water table is higher.,1.57,1.57 mg/L,Minor and intermittent,Spring,Rotorua,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0788_BESTPHOTO_20141015121846484.jpg,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0788_LARGE_20141015121846484.jpg,-38.1641,"Te Puia (Te Whakarewarewa Valley), Rotorua, Rotorua",176.2555,Small spring on the western banks of Feature 87. Zero vegetation around it and no visible outputs. Looks to be connected to Feature 87 when water table is higher.,Te Puia Feature 86,Te Puia Feature 86,50.9,50.9 mV,2026-05-27T07:40:03.596324+00:00,1.53,Hot springs can cause serious injury and death. Follow the safety instructions. Never climb over barriers and step off paths.,15-10-2014,P1.0788,0.35 x 0.25 m,1003,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,https://1000springs.org.nz/samplesite/1003,2,34.6,388.0,388.0 FNU
"1000 Springs Project authors, GNS Science, and University of Waikato",12050.0 µS/cm,12050.0,This spring is west of Feature 86 and there is a small channel of inter flow between the two. Lots of floating material on top of this one and there is a lighter blue colour area in middle of spring. No immediate vegetation.,1.96,1.96 mg/L,Minor and intermittent,Spring,Rotorua,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0789_BESTPHOTO_20141015123555714.jpg,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0789_LARGE_20141015123555714.jpg,-38.1641,"Te Puia (Te Whakarewarewa Valley), Rotorua, Rotorua",176.2553,This spring is west of Feature 86 and there is a small channel of inter flow between the two. Lots of floating material on top of this one and there is a lighter blue colour area in middle of spring. No immediate vegetation.,Te Puia Feature 87,Te Puia Feature 87,380.1,380.1 mV,2026-05-27T07:40:03.601599+00:00,1.49,Hot springs can cause serious injury and death. Follow the safety instructions. Never climb over barriers and step off paths.,15-10-2014,P1.0789,10 x 4 m,1004,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,https://1000springs.org.nz/samplesite/1004,2,27.7,261.0,261.0 FNU
"1000 Springs Project authors, GNS Science, and University of Waikato",2492.0 µS/cm,2492.0,Mahanga or Boxing Glove Geyser on Pohutu Terrace. Surrounded by yellow coloured rocks and some black precipitate. No surrounding vegetation or visible outputs.,2.05,2.05 mg/L,Upwelling,Geyser,Rotorua,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0790_BESTPHOTO_20141015132006349.jpg,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0790_LARGE_20141015132006349.jpg,-38.1638,"Te Puia (Te Whakarewarewa Valley), Rotorua, Rotorua",176.2542,Mahanga or Boxing Glove Geyser on Pohutu Terrace. Surrounded by yellow coloured rocks and some black precipitate. No surrounding vegetation or visible outputs.,Te Puia Feature 88,Te Puia Feature 88,-249.5,-249.5 mV,2026-05-27T07:40:03.606912+00:00,8.68,Hot springs can cause serious injury and death. Follow the safety instructions. Never climb over barriers and step off paths.,15-10-2014,P1.0790,0.3 x 0.2 m,1005,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,https://1000springs.org.nz/samplesite/1005,2,98.5,2.0,2.0 FNU
"1000 Springs Project authors, GNS Science, and University of Waikato",3621.0 µS/cm,3621.0,This is a very interesting spring that was formed from a bore hole many years ago. It has a steep embankment on the north west side with Puarenga Stream flowing to it's south. A pump moves water from the spring which looks like the neighbouring hotel uses as a hot water source. This overflows water into the stream. Vegetation overhanging on embankment side. Grey sediment around edges.,2.0,2.0 mg/L,Moderate and continuous,Spring,Rotorua,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0791_BESTPHOTO_20141016095643936.jpg,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0791_LARGE_20141016095643936.jpg,-38.1604,"Rotorua General, Rotorua, Rotorua",176.2585,This is a very interesting spring that was formed from a bore hole many years ago. It has a steep embankment on the north west side with Puarenga Stream flowing to it's south. A pump moves water from the spring which looks like the neighbouring hotel uses as a hot water source. This overflows water into the stream. Vegetation overhanging on embankment side. Grey sediment around edges.,Hotel Blowout Feature 1,Hotel Blowout Feature 1,-259.8,-259.8 mV,2026-05-27T07:40:03.612364+00:00,8.29,Hot springs can cause serious injury and death. Follow the safety instructions. Never climb over barriers and step off paths.,16-10-2014,P1.0791,10 x 10 m,1006,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,https://1000springs.org.nz/samplesite/1006,2,89.4,5.8,5.8 FNU
"1000 Springs Project authors, GNS Science, and University of Waikato",3744.0 µS/cm,3744.0,Milky blue coloured spring about 8 metres east of Hotel Blowout. A large Manuka tree overhangs it on the south side of spring. It has a couple of very small inputs from 50 degree Celsuis springs. One has a build up of orange biofilm. The spring itself has a small outflow into Feature 3. Yellow coloured sediment.,1.58,1.58 mg/L,Minor and intermittent,Spring,Rotorua,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0792_BESTPHOTO_20141016102202160.jpg,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0792_LARGE_20141016102202160.jpg,-38.1605,"Rotorua General, Rotorua, Rotorua",176.2584,Milky blue coloured spring about 8 metres east of Hotel Blowout. A large Manuka tree overhangs it on the south side of spring. It has a couple of very small inputs from 50 degree Celsuis springs. One has a build up of orange biofilm. The spring itself has a small outflow into Feature 3. Yellow coloured sediment.,Hotel Blowout Feature 2,Hotel Blowout Feature 2,-146.7,-146.7 mV,2026-05-27T07:40:03.617672+00:00,6.33,Hot springs can cause serious injury and death. Follow the safety instructions. Never climb over barriers and step off paths.,16-10-2014,P1.0792,1.5 x 0.8 m,1007,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,https://1000springs.org.nz/samplesite/1007,2,34.2,239.0,239.0 FNU
"1000 Springs Project authors, GNS Science, and University of Waikato",3779.0 µS/cm,3779.0,"Another milky blue pool but with much more floating material and bubbles. A ring of yellow precipitate has built up around the edges. There are some 85 degree Celsuis bubbling black springs on north west side, too small to sample. Input into this feature. No immediate vegetation and spring connects with Feature 4.",2.09,2.09 mg/L,Minor and continuous,Spring,Rotorua,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0793_BESTPHOTO_20141016102849277.jpg,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0793_LARGE_20141016102849277.jpg,-38.1604,"Rotorua General, Rotorua, Rotorua",176.2584,"Another milky blue pool but with much more floating material and bubbles. A ring of yellow precipitate has built up around the edges. There are some 85 degree Celsuis bubbling black springs on north west side, too small to sample. Input into this feature. No immediate vegetation and spring connects with Feature 4.",Hotel Blowout Feature 3,Hotel Blowout Feature 3,-223.1,-223.1 mV,2026-05-27T07:40:03.623275+00:00,5.53,Hot springs can cause serious injury and death. Follow the safety instructions. Never climb over barriers and step off paths.,16-10-2014,P1.0793,3 x 1 m,1008,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,https://1000springs.org.nz/samplesite/1008,2,40.4,454.0,454.0 FNU
"1000 Springs Project authors, GNS Science, and University of Waikato",3735.0 µS/cm,3735.0,This spring connects with Feature 3 and has a run off towards Feature 5. It has no immediate vegetation and lots of yellow precipitate around the edges. No floating material.,2.23,2.23 mg/L,Minor and continuous,Spring,Rotorua,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0794_BESTPHOTO_20141016104942655.jpg,https://springs-images.nyc3.cdn.digitaloceanspaces.com/images/P1.0794_LARGE_20141016104942655.jpg,-38.1605,"Rotorua General, Rotorua, Rotorua",176.2585,This spring connects with Feature 3 and has a run off towards Feature 5. It has no immediate vegetation and lots of yellow precipitate around the edges. No floating material.,Hotel Blowout Feature 4,Hotel Blowout Feature 4,-129.4,-129.4 mV,2026-05-27T07:40:03.628768+00:00,4.1,Hot springs can cause serious injury and death. Follow the safety instructions. Never climb over barriers and step off paths.,16-10-2014,P1.0794,3 x 3 m,1009,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,https://1000springs.org.nz/samplesite/1009,2,28.8,484.0,484.0 FNU
